consumption_1470-1494,[]
consume_1470-1494,"['conceyue', 'oughte', 'vengeance', 'eny', 'ner', 'fulfylle', 'nedes', 'fele', 'nor', 'besy', 'wythoute', 'meanes', 'lette', 'afferme', 'thow', 'yu', 'beware', 'dyscretly', 'vndertake', 'somwhat']"
cupiditas_1470-1494,"['abdyas', 'burgeyse', 'xxjo', 'nut', 'tapyte', 'welewillars', 'euerlastige', 'titours', 'vacuo', 'prouffitynge', 'pureaunce', 'donum', 'sekin', 'nameles', 'vigillis', 'maumentes', 'habitauerut', 'horsbrede', 'predicameta', 'musie']"
greed_1470-1494,"['angurys', 'panettys', 'cotre', 'dogges', 'deceyuyd', 'scawbard', 'physicions', 'hertelye', 'stand', 'chastyt', 'escaped', 'domynacion', 'fredam', 'medyl', 'sygheng', 'murdred', 'were', 'ben', 'ungyers', 'partener']"
desire_1470-1494,"['desyre', 'loke', 'forsake', 'dye', 'peyne', 'wylle', 'hope', 'entent', 'wyll', 'ay', 'wele', 'withoute', 'penaunce', 'yeue', 'therfore', 'trouthe', 'folowe', 'drede', 'redresse', 'lerne']"
appetite_1470-1494,"['promesse', 'raunson', 'thorow', 'abate', 'expresse', 'semyng', 'losse', 'qualite', 'angre', 'sche', 'cold', 'prouffit', 'franchise', 'lityl', 'taste', 'whele', 'tonge', 'defence', 'fede', 'cupide']"
lust_1470-1494,"['entent', 'woo', 'courage', 'fame', 'folowe', 'shape', 'trust', 'charite', 'ay', 'help', 'labour', 'lastyng', 'paye', 'certes', 'hate', 'chaunge', 'entet', 'rest', 'rather', 'sapyence']"
libido_1470-1494,"['ambe', 'indiuisibilitatis', 'discernentem', 'lernyn', 'ader', 'erdely', 'astryarges', 'vnguerdonned', 'wyer', 'camnygh', 'trynals', 'lacedomones', 'cotrayes', 'strgli', 'spartania', 'panthos', 'weyliggers', 'nakidnes', 'diseyplyne', 'calux']"
possess_1470-1494,[]
possession_1470-1494,"['wolues', 'ccij', 'golde', 'kyngis', 'tounes', 'irlonde', 'cannes', 'nayles', 'cliij', 'lychfeld', 'thordre', 'capitayne', 'marhaus', 'wulf', 'andrewe', 'shires', 'iasius', 'noe', 'vmbre', 'macedonia']"
possessing_1470-1494,"['obteyue', 'vniuoco', 'thysylfe', 'arithmetryk', 'coberaunce', 'gyltlees', 'faciant', 'hardiest', 'nobled', 'dioclisians', 'parfaytly', 'polycene', 'sygismonde', 'tallowe', 'destendyd', 'adutenduquod', 'inwhich', 'veylle', 'worthelich', 'membred']"
busy_1470-1494,"['mtxiio', 'pleisure', 'euaglyste', 'happenyd', 'promancie', 'russhed', 'adiugetur', 'compaseyon', 'refourmynges', 'chachos', 'emanuell', 'concomitant', 'mccccxxxiiij', 'delphycos', 'burest', 'secta', 'dymentryus', 'rurfu', 'worre', 'thaccorde']"
need_1470-1494,"['examplayre', 'resplendysshyng', 'xxiijj', 'retaynde', 'ydeluesse', 'constricta', 'chiro', 'respite', 'delyt', 'dissoluutur', 'wyueles', 'sollonge', 'chyure', 'morantem', 'thexposicio', 'tutyth', 'atrayed', 'vaillerous', 'obstruit', 'gretthid']"
necessary_1470-1494,"['vnderstonde', 'contrarye', 'prouffytable', 'poynt', 'folye', 'further', 'spedeful', 'manere', 'synne', 'creature', 'science', 'sight', 'gode', 'vnknowen', 'trust', 'subget', 'benefice', 'persone', 'foryete', 'riche']"
