,Words,1470-1494 Similarities,1470-1494 Z-Scores,1495-1519 Similarities,1495-1519 Z-Scores,1520-1544 Similarities,1520-1544 Z-Scores,1545-1569 Similarities,1545-1569 Z-Scores,1570-1594 Similarities,1570-1594 Z-Scores,1595-1619 Similarities,1595-1619 Z-Scores,1620-1644 Similarities,1620-1644 Z-Scores,1645-1669 Similarities,1645-1669 Z-Scores,1670-1700 Similarities,1670-1700 Z-Scores
0,consumption,,,,,-0.03841004520654678,,-0.010870988480746746,,0.05134732648730278,,0.20183050632476807,,-0.026019468903541565,,0.06204850599169731,,0.005779984872788191,
1,consume,-0.6788908243179321,,-0.499911367893219,,,,,,,,,,,,,,,
2,cupidity,,,,,-0.2961867153644562,,0.039075206965208054,,0.07326892763376236,,0.03536463528871536,2.2848912474760152,0.07972472161054611,,0.06772716343402863,,0.042289070785045624,
3,cupiditas,,,,,,,,,,,,,,,,,,
4,curiosity,0.1830473244190216,,-0.5297406911849976,,,,,,0.11243007332086563,,0.39869630336761475,,0.20333722233772278,,-0.029088450595736504,,0.20980124175548553,
5,curiositas,,,,,-0.10007891803979874,,-0.0898047611117363,,,,0.1397031545639038,,,,,,,
6,greed,,,,,,,,,0.21205741167068481,,,,0.23076768219470978,,0.32016074657440186,,0.2784074544906616,2.559734835500099
7,desire,,-2.11282177290259,,-2.0924696526682482,-0.09196079522371292,-2.193682252799295,0.12708266079425812,-2.386496605390143,,-2.0949823134666072,0.213221937417984,,,,,-1.9962102104289245,,
8,appetite,-0.5383738279342651,-1.9681138675765435,0.029859492555260658,,,-2.2217181723807036,,,0.006610112264752388,,,,0.1420525461435318,,0.02953553944826126,,0.03665298596024513,
9,lust,,-2.1937805559145795,,-2.0112802184832255,-0.2421887218952179,,-0.0806964561343193,-2.074918037281531,,,0.33850035071372986,,,,,,,
10,libido,-0.8159657120704651,,-0.8302357792854309,,,,,,-0.17684930562973022,,,,0.17303450405597687,,0.24106551706790924,,0.3364390730857849,
11,covetousness,-0.7722150683403015,,-0.6960936784744263,,-0.20585496723651886,,-0.2078767567873001,,,,0.11100836098194122,,,,,,,
12,avarice,-0.8404425978660583,,,,,,,,-0.25836315751075745,,,,0.2634107172489166,,-0.09668951481580734,,0.48409244418144226,
13,possess,0.16944225132465363,,-0.8065816164016724,,-0.4809553325176239,,-0.3597104549407959,,,,-0.23791079223155975,,,,,,-0.21035440266132355,
14,possession,,,-0.5447043776512146,,-0.4860195815563202,-2.23324548765137,-0.0038444765377789736,-2.3282677345588088,-0.29565733671188354,-3.4257796813018113,,-2.7218511101457468,-0.22677810490131378,-2.5489663135233025,-0.2693822681903839,-2.0736769993520032,,-2.791136862134483
15,possessing,,,,,-0.4373941719532013,,,-2.493880894598112,0.007397740613669157,,-0.061119966208934784,,,,-0.02295810543000698,,-0.0006307605071924627,
16,busy,,,,,,,-0.3146194815635681,,,,,,-0.053964994847774506,,,,,
17,businesse,,,,,-0.08470653742551804,,0.18125244975090027,,-0.09626234322786331,-2.3899426443992944,0.037049368023872375,-2.7468121092410396,,-2.581841658516526,-0.07264316082000732,-2.6823497102150515,-0.09615356475114822,
18,need,-0.7579851150512695,,-0.6760103106498718,,,,,,,,,,-0.08297082036733627,,,,,
19,necessity,,,,,,,,,0.25330159068107605,-2.4469020491617943,0.2649267315864563,-2.425452382802047,,-3.0264516822762,0.31012916564941406,-3.072267651359686,0.2705649435520172,-2.46183716705263
20,necessary,-0.06483281403779984,-2.166472289818901,-0.4168931841850281,-2.128235262616717,-0.39413103461265564,-1.963064507992932,0.02700001932680607,,,,,-1.9863184790312005,0.25105658173561096,,,-2.386942638840274,,
21,needing,,,,,,,,,,,,,,,-0.14728474617004395,,-0.17277200520038605,
