,Words,1470-1494 Similarities,1470-1494 Z-Scores,1495-1519 Similarities,1495-1519 Z-Scores,1520-1544 Similarities,1520-1544 Z-Scores,1545-1569 Similarities,1545-1569 Z-Scores,1570-1594 Similarities,1570-1594 Z-Scores,1595-1619 Similarities,1595-1619 Z-Scores,1620-1644 Similarities,1620-1644 Z-Scores,1645-1669 Similarities,1645-1669 Z-Scores,1670-1700 Similarities,1670-1700 Z-Scores
0,consumption,,,,,-0.03841004520654678,0.25626915981501897,-0.010870988480746746,0.02398365969737578,0.05134732648730278,0.23398026256337545,0.20183050632476807,1.0157319308064803,-0.026019468903541565,-0.4649959153328078,0.06204850599169731,0.012636447019549904,0.005779984872788191,-0.3348570635684663
1,consume,-0.6788908243179321,-1.659438275237701,-0.499911367893219,-0.9586797066774431,-0.2961867153644562,-1.1707945448504369,0.039075206965208054,0.36911180606342436,0.07326892763376236,0.38110966482000785,0.03536463528871536,-0.057444386799028,0.07972472161054611,0.21741463293970867,0.06772716343402863,0.04705555625879963,0.042289070785045624,-0.11391591460327853
2,cupidity,,,,,,,,,0.11243007332086563,0.6439442962018012,0.39869630336761475,2.2848912474760152,0.20333722233772278,1.0151367014946846,-0.029088450595736504,-0.5397569481396838,0.20980124175548553,0.8998134241374717
3,cupiditas,0.1830473244190216,1.1914743831820278,-0.5297406911849976,-1.061064470496098,-0.10007891803979874,-0.08513260503070141,-0.0898047611117363,-0.5214486077771421,0.21205741167068481,1.312604885448746,0.1397031545639038,0.6152077742911402,0.23076768219470978,1.1921566877404535,0.32016074657440186,1.5770895760951407,0.2784074544906616,1.314995976346231
4,curiosity,,,,,-0.09196079522371292,-0.04019029735888699,0.12708266079425812,0.9772431989596507,0.006610112264752388,-0.06627880807726502,0.213221937417984,1.0891704920970808,0.1420525461435318,0.6196415988411738,0.02953553944826126,-0.18442903166359034,0.03665298596024513,-0.14802367232280572
5,curiositas,,,,,-0.2421887218952179,-0.8718591270040212,-0.0806964561343193,-0.45851023208456104,-0.17684930562973022,-1.297588250887938,0.33850035071372986,1.8968184827598131,0.17303450405597687,0.8195808558613596,0.24106551706790924,1.0976827141151284,0.3364390730857849,1.6661845138935767
6,greed,-0.5383738279342651,-1.1946697946914582,0.029859492555260658,0.8596808338706833,-0.20585496723651886,-0.6707137615375264,-0.2078767567873001,-1.3373259462090894,-0.25836315751075745,-1.8446780470558666,0.11100836098194122,0.43021746535225036,0.2634107172489166,1.4028155555262214,-0.09668951481580734,-0.9494961228846432,0.48409244418144226,2.559734835500099
7,desire,-0.8159657120704651,-2.11282177290259,-0.8302357792854309,-2.0924696526682482,-0.4809553325176239,-2.193682252799295,-0.3597104549407959,-2.386496605390143,-0.29565733671188354,-2.0949823134666072,-0.23791079223155975,-1.8192032096316293,-0.22677810490131378,-1.7605735749247138,-0.2693822681903839,-1.9962102104289245,-0.21035440266132355,-1.6428322899939898
8,appetite,-0.7722150683403015,-1.9681138675765435,-0.6960936784744263,-1.632046626127171,-0.4860195815563202,-2.2217181723807036,-0.0038444765377789736,0.0725368481963764,0.007397740613669157,-0.06099254785374033,-0.061119966208934784,-0.679463715424399,-0.053964994847774506,-0.6453398338843165,-0.02295810543000698,-0.5026000986420098,-0.0006307605071924627,-0.3736528157650629
9,lust,-0.8404425978660583,-2.1937805559145795,-0.8065816164016724,-2.0112802184832255,-0.4373941719532013,-1.9525256301440688,-0.3146194815635681,-2.074918037281531,-0.09626234322786331,-0.7567193823847224,0.037049368023872375,-0.046583209900649326,-0.08297082036733627,-0.8325262996340739,-0.07264316082000732,-0.8037479256404501,-0.09615356475114822,-0.9517258514131728
